id,Address_US,Freq,last_update,Web,Gender,Address_RES,Purchase
1,1,2,3662,1,0,1,1
2,1,0,2900,1,1,0,0
3,1,2,3883,0,0,0,1
4,1,1,829,0,1,0,0
5,1,1,869,0,0,0,0
6,1,1,1995,0,0,1,0
7,1,2,1498,0,0,1,0
8,1,1,3397,0,1,0,0
9,1,4,525,1,1,0,1
10,1,1,3215,0,0,0,1
11,1,0,734,0,1,0,0
12,1,2,1275,0,0,1,0
13,1,1,2802,1,1,0,0
14,1,5,2081,0,1,0,1
15,0,1,1465,0,0,1,1
16,0,1,2523,1,0,0,0
17,1,2,1801,1,0,1,0
18,0,0,3694,1,0,0,0
19,1,2,1879,1,1,1,1
20,1,0,3120,0,1,0,0
21,1,2,2943,1,0,0,1
22,1,2,1928,0,1,0,1
23,1,1,310,0,0,1,0
24,1,2,1463,0,0,1,1
25,1,3,3613,1,1,0,1
26,1,1,2460,1,0,0,1
27,0,0,3394,0,0,0,0
28,1,0,1569,1,0,0,0
29,1,1,3299,0,0,0,1
30,1,2,3744,0,1,0,1
31,1,0,3090,0,0,0,0
32,0,2,2947,1,0,0,1
33,0,1,2123,0,1,0,0
34,1,0,2905,1,1,0,0
35,0,0,2005,0,1,1,0
36,1,1,1158,0,1,1,0
37,1,2,2478,0,1,0,1
38,0,1,1058,0,0,0,0
39,1,1,1774,0,0,0,0
40,1,0,3694,1,0,0,0
41,1,2,1752,1,0,1,0
42,1,2,3698,0,1,0,1
43,1,2,1318,0,1,1,1
44,1,9,868,1,0,1,1
45,1,2,2752,0,1,0,1
46,1,1,3338,0,1,1,1
47,1,0,3747,0,0,0,0
48,1,0,2905,1,0,0,0
49,1,2,1786,0,0,0,1
50,0,1,316,1,1,0,0
51,1,2,2226,0,1,0,1
52,1,2,1920,0,0,1,0
53,1,8,106,1,0,0,1
54,1,0,1822,1,1,0,0
55,1,1,1170,1,1,0,1
56,1,0,3157,0,1,1,0
57,1,5,1856,0,0,1,1
58,0,1,2212,0,0,0,1
59,1,2,3338,0,1,0,1
60,1,0,3367,0,1,0,0
61,1,3,2957,1,1,0,1
62,1,1,834,0,1,0,0
63,1,3,2908,0,1,0,1
64,1,1,906,1,1,0,1
65,1,6,1408,0,1,1,1
66,1,3,1835,1,0,0,1
67,1,1,2803,0,0,0,0
68,1,4,479,1,1,0,1
69,1,6,1470,0,1,0,1
70,1,1,3654,1,1,0,0
71,1,1,3716,0,0,1,1
72,1,0,3125,0,0,0,0
73,1,4,1995,0,1,1,0
74,1,0,3747,0,1,0,0
75,1,1,2438,0,1,1,0
76,1,1,2848,1,1,0,0
77,0,1,3125,1,1,0,1
78,1,2,541,1,1,1,1
79,1,1,2859,1,0,0,1
80,1,1,1095,1,0,1,0
81,1,1,2508,0,1,0,1
82,1,1,2862,0,0,0,1
83,1,0,3745,1,0,0,0
84,1,2,3698,1,0,0,1
85,1,0,3746,0,1,0,0
86,1,2,2962,1,0,0,1
87,1,2,841,1,0,1,1
88,1,1,2912,1,1,0,0
89,0,2,458,1,0,0,1
90,1,1,1269,1,0,0,1
91,1,1,2982,1,1,0,0
92,1,1,1415,1,0,1,0
93,1,0,4005,0,0,0,0
94,1,1,2102,1,1,0,1
95,1,1,2872,0,1,0,0
96,1,1,2548,1,0,0,1
97,1,0,2740,0,0,0,0
98,1,0,217,0,0,0,0
99,0,1,366,0,1,0,0
100,1,3,822,1,0,1,1
101,1,0,3746,0,0,0,0
102,1,1,3772,0,1,0,0
103,1,0,2781,0,1,0,0
104,1,1,511,0,0,0,0
105,1,1,1112,0,1,0,1
106,0,1,2807,1,0,0,1
107,1,0,1011,0,1,0,0
108,1,1,2907,0,1,0,1
109,1,1,3724,0,1,0,1
110,1,1,3356,0,0,0,0
111,0,3,3791,1,1,1,1
112,1,2,3642,1,0,0,0
113,0,1,4005,1,1,0,1
114,1,1,1130,1,1,0,1
115,1,6,1128,1,0,1,1
116,1,2,1521,0,1,1,0
117,1,2,1882,0,1,1,0
118,0,2,1529,0,1,0,1
119,1,1,2404,0,0,0,1
120,1,1,667,0,1,0,1
121,1,1,4157,1,1,0,1
122,1,2,3436,1,1,0,1
123,1,1,1154,0,0,1,1
124,1,1,1263,1,1,0,0
125,1,1,1863,0,1,1,1
126,1,3,731,0,0,1,0
127,1,0,1816,1,0,0,0
128,1,1,1302,1,1,0,1
129,1,2,785,1,0,0,1
130,1,1,3883,0,1,0,1
131,1,1,2960,0,1,1,1
132,1,5,617,0,0,0,1
133,1,1,3009,0,0,1,1
134,1,1,2404,0,1,0,0
135,1,1,1968,0,1,0,0
136,1,4,1121,1,1,0,1
137,1,0,2879,1,0,0,0
138,1,1,2648,1,1,0,1
139,1,0,2891,1,1,0,0
140,1,3,1240,1,1,1,1
141,1,1,2856,0,1,0,0
142,1,0,2977,0,0,0,0
143,1,1,2960,1,1,0,1
144,1,1,3047,0,1,1,0
145,1,0,2765,1,0,0,0
146,1,1,1109,0,0,0,1
147,1,5,2268,0,0,0,1
148,1,1,1147,1,0,0,1
149,1,2,2425,0,0,0,1
150,1,1,2296,0,0,0,1
151,1,0,3619,0,0,0,0
152,1,2,1016,1,0,0,1
153,1,1,723,0,1,1,0
154,1,2,841,0,1,1,0
155,1,1,890,0,1,0,0
156,1,3,1242,1,1,1,1
157,1,0,3747,1,1,0,0
158,1,1,2060,0,1,0,0
159,1,2,3074,1,0,0,1
160,1,3,2024,0,1,0,1
161,1,0,3138,1,0,1,0
162,1,1,3334,1,0,0,0
163,0,0,90,0,1,0,0
164,1,1,2632,1,0,0,1
165,1,1,3451,1,0,0,0
166,0,2,3543,0,0,0,1
167,1,1,169,1,1,0,1
168,1,3,3662,0,1,1,1
169,1,2,582,1,1,0,1
170,1,2,969,0,0,1,1
171,1,1,1968,1,1,0,0
172,0,1,364,1,0,0,1
173,0,0,2185,0,1,0,0
174,1,0,91,0,0,0,0
175,1,0,3502,0,1,0,0
176,1,1,3485,0,1,0,0
177,1,1,2855,0,1,0,0
178,1,1,1890,1,0,0,1
179,1,1,3944,1,1,0,1
180,1,3,2347,0,0,0,1
181,1,1,3237,0,1,1,0
182,1,2,3772,1,0,0,1
183,0,2,3583,1,0,0,1
184,0,1,140,0,1,1,0
185,1,1,2960,0,1,1,1
186,1,1,1598,1,1,0,1
187,1,3,1689,0,0,1,1
188,1,1,2675,0,1,0,1
189,1,4,1989,0,1,0,1
190,1,1,1569,1,1,0,1
191,1,1,1906,1,0,0,1
192,1,1,2408,1,0,0,1
193,1,2,1864,0,1,0,1
194,1,1,2947,0,0,0,1
195,0,2,2723,1,1,0,1
196,1,1,3660,1,1,0,0
197,1,1,2893,0,1,0,0
198,1,3,2466,1,1,0,1
199,1,2,1882,0,0,1,0
200,0,1,2502,0,0,1,0
201,1,3,2024,1,1,0,1
202,1,2,2080,1,1,1,1
203,1,2,1856,0,0,1,0
204,1,1,583,0,0,0,1
205,0,0,3369,0,0,0,0
206,1,0,181,0,0,0,0
207,1,1,50,1,1,0,1
208,1,1,3270,1,0,0,1
209,0,1,1926,0,1,0,1
210,1,1,1567,1,0,0,1
211,1,2,2404,1,0,0,1
212,1,1,906,0,0,0,1
213,1,2,1577,1,0,0,1
214,1,2,1037,0,1,0,1
215,0,1,2768,0,0,0,0
216,1,1,3522,0,0,0,0
217,0,4,511,1,0,0,1
218,1,1,833,0,0,0,0
219,1,3,191,1,1,0,1
220,1,1,182,1,1,0,1
221,1,2,2201,0,0,0,1
222,1,3,1962,1,1,1,0
223,1,1,3236,1,1,0,1
224,0,2,583,1,0,0,1
225,1,1,3453,1,0,0,0
226,1,0,3746,0,1,0,0
227,1,1,2081,1,0,1,1
228,0,1,2541,0,0,0,1
229,1,3,2205,0,0,0,1
230,1,1,3263,0,0,0,0
231,1,1,2918,1,1,0,0
232,1,1,2996,1,0,0,1
233,0,1,1701,0,0,0,1
234,1,1,3883,1,1,0,1
235,1,2,2802,1,0,0,1
236,1,1,1946,1,0,0,1
237,1,1,2562,1,1,0,1
238,1,1,2705,0,1,0,1
239,1,1,2333,1,1,1,1
240,1,2,2933,1,1,0,1
241,1,1,290,1,1,0,1
242,1,0,3745,0,1,0,0
243,1,1,3517,0,0,0,0
244,1,1,890,0,1,0,0
